INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '06:00', '06:20', '35', '34');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:20', '20:40', '27', '28');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '06:40', '07:00', '32', '31');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:40', '09:00', '32', '31');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:40', '11:00', '32', '31');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:40', '13:00', '32', '31');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:40', '15:00', '32', '31');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:40', '17:00', '32', '31');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:40', '19:00', '32', '31');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:40', '21:00', '32', '31');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '06:40', '07:00', '28', '29');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:40', '09:00', '28', '29');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:40', '11:00', '28', '29');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:40', '13:00', '28', '29');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:40', '15:00', '28', '29');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:40', '17:00', '28', '29');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:40', '19:00', '28', '29');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:40', '21:00', '28', '29');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '07:00', '07:20', '31', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:00', '09:20', '31', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:00', '11:20', '31', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:00', '13:20', '31', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:00', '15:20', '31', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:00', '17:20', '31', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:00', '19:20', '31', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:00', '21:20', '31', '30');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '07:00', '07:20', '29', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:00', '09:20', '29', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:00', '11:20', '29', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:00', '13:20', '29', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:00', '15:20', '29', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:00', '17:20', '29', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:00', '19:20', '29', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:00', '21:20', '29', '24');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '07:20', '07:40', '30', '9');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:20', '09:40', '30', '9');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:20', '11:40', '30', '9');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:20', '13:40', '30', '9');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:20', '15:40', '30', '9');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:20', '17:40', '30', '9');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:20', '19:40', '30', '9');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:20', '21:40', '30', '9');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '07:20', '07:40', '24', '23');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:20', '09:40', '24', '23');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:20', '11:40', '24', '23');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:20', '13:40', '24', '23');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:20', '15:40', '24', '23');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:20', '17:40', '24', '23');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:20', '19:40', '24', '23');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:20', '21:40', '24', '23');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '07:40', '08:00', '9', '33');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:40', '10:00', '9', '33');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:40', '12:00', '9', '33');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:40', '14:00', '9', '33');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:40', '16:00', '9', '33');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:40', '18:00', '9', '33');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:40', '20:00', '9', '33');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:40', '22:00', '9', '33');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '07:40', '08:00', '23', '7');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:40', '10:00', '23', '7');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:40', '12:00', '23', '7');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:40', '14:00', '23', '7');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:40', '16:00', '23', '7');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:40', '18:00', '23', '7');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:40', '20:00', '23', '7');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:40', '22:00', '23', '7');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:00', '08:20', '33', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:00', '10:20', '33', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:00', '12:20', '33', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:00', '14:20', '33', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:00', '16:20', '33', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:00', '18:20', '33', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:00', '20:20', '33', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:00', '22:20', '33', '18');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:00', '08:20', '7', '6');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:00', '10:20', '7', '6');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:00', '12:20', '7', '6');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:00', '14:20', '7', '6');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:00', '16:20', '7', '6');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:00', '18:20', '7', '6');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:00', '20:20', '7', '6');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:00', '22:20', '7', '6');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:20', '08:40', '18', '12');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:20', '10:40', '18', '12');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:20', '12:40', '18', '12');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:20', '14:40', '18', '12');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:20', '16:40', '18', '12');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:20', '18:40', '18', '12');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:20', '20:40', '18', '12');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:20', '22:40', '18', '12');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:20', '08:40', '6', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:20', '10:40', '6', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:20', '12:40', '6', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:20', '14:40', '6', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:20', '16:40', '6', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:20', '18:40', '6', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:20', '20:40', '6', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:20', '22:40', '6', '1');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:40', '09:00', '12', '13');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:40', '11:00', '12', '13');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:40', '13:00', '12', '13');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:40', '15:00', '12', '13');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:40', '17:00', '12', '13');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:40', '19:00', '12', '13');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:40', '21:00', '12', '13');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:40', '23:00', '12', '13');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '08:40', '09:00', '1', '5');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:40', '11:00', '1', '5');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:40', '13:00', '1', '5');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:40', '15:00', '1', '5');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:40', '17:00', '1', '5');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:40', '19:00', '1', '5');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:40', '21:00', '1', '5');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:40', '23:00', '1', '5');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:00', '09:20', '13', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:00', '11:20', '13', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:00', '13:20', '13', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:00', '15:20', '13', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:00', '17:20', '13', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:00', '19:20', '13', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:00', '21:20', '13', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '23:00', '23:20', '13', '14');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:00', '09:20', '5', '4');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:00', '11:20', '5', '4');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:00', '13:20', '5', '4');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:00', '15:20', '5', '4');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:00', '17:20', '5', '4');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:00', '19:20', '5', '4');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:00', '21:20', '5', '4');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '23:00', '23:20', '5', '4');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:20', '09:40', '14', '15');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:20', '11:40', '14', '15');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:20', '13:40', '14', '15');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:20', '15:40', '14', '15');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:20', '17:40', '14', '15');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:20', '19:40', '14', '15');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:20', '21:40', '14', '15');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '23:20', '23:40', '14', '15');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:20', '09:40', '4', '3');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:20', '11:40', '4', '3');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:20', '13:40', '4', '3');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:20', '15:40', '4', '3');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:20', '17:40', '4', '3');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:20', '19:40', '4', '3');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:20', '21:40', '4', '3');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '23:20', '23:40', '4', '3');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:40', '10:00', '15', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:40', '12:00', '15', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:40', '14:00', '15', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:40', '16:00', '15', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:40', '18:00', '15', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:40', '20:00', '15', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:40', '22:00', '15', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '23:40', '00:00', '15', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '09:40', '10:00', '3', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:40', '12:00', '3', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:40', '14:00', '3', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:40', '16:00', '3', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:40', '18:00', '3', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:40', '20:00', '3', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:40', '22:00', '3', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '23:40', '00:00', '3', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:00', '10:20', '19', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:00', '12:20', '19', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:00', '14:20', '19', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:00', '16:20', '19', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:00', '18:20', '19', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:00', '20:20', '19', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:00', '22:20', '19', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '00:00', '00:20', '19', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:00', '10:20', '16', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:00', '12:20', '16', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:00', '14:20', '16', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:00', '16:20', '16', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:00', '18:20', '16', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:00', '20:20', '16', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:00', '22:20', '16', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '00:00', '00:20', '16', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:20', '10:40', '20', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:20', '12:40', '20', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:20', '14:40', '20', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:20', '16:40', '20', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:20', '18:40', '20', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:20', '20:40', '20', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:20', '22:40', '20', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '00:20', '00:40', '20', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:20', '10:40', '17', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:20', '12:40', '17', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:20', '14:40', '17', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:20', '16:40', '17', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:20', '18:40', '17', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:20', '20:40', '17', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:20', '22:40', '17', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '00:20', '00:40', '17', '21');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:40', '11:00', '21', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:40', '13:00', '21', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:40', '15:00', '21', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:40', '17:00', '21', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:40', '19:00', '21', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:40', '21:00', '21', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:40', '23:00', '21', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '00:40', '01:00', '21', '17');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '10:40', '11:00', '21', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '12:40', '13:00', '21', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '14:40', '15:00', '21', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '16:40', '17:00', '21', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '18:40', '19:00', '21', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '20:40', '21:00', '21', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '22:40', '23:00', '21', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '00:40', '01:00', '21', '20');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:00', '11:20', '17', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:00', '13:20', '17', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:00', '15:20', '17', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:00', '17:20', '17', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:00', '19:20', '17', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:00', '21:20', '17', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '23:00', '23:20', '17', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '01:00', '01:20', '17', '16');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:00', '11:20', '20', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:00', '13:20', '20', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '15:00', '15:20', '20', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '17:00', '17:20', '20', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '19:00', '19:20', '20', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '21:00', '21:20', '20', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '23:00', '23:20', '20', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '01:00', '01:20', '20', '19');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '11:20', '11:40', '16', '3');
INSERT INTO RAILWAY.TRIP VALUES ('Segunda-feira', 'IC', '13:20', '13:40', '16', '3');
